NaN,NaN,NaN,NaN,NaN,399054.5248,5
29667,16054,0,0,399056529,399056.6901,0
29667,16054,0,0,399056577,399056.7421,0
29667,16054,0,0,399056721,399056.8867,0
27076,16169,0,0,399056773,399056.9385,0
27075,16171,0,0,399056780,399056.9467,0
27075,16171,0,0,399056788,399056.9547,0
27084,16171,0,0,399056795,399056.9626,0
27091,16171,0,0,399056803,399056.9666,0
27091,16171,0,0,399056810,399056.9746,0
27101,16171,0,0,399056818,399056.9826,0
27112,16171,0,103,399056825,399056.9906,0
27124,16171,0,204,399056833,399056.9985,0
27138,16171,0,216,399056840,399057.0065,0
27158,16168,0,220,399056848,399057.0145,0
27187,16159,0,229,399056855,399057.0224,0
27227,16143,0,246,399056863,399057.0304,0
27262,16126,0,297,399056870,399057.0344,0
27301,16108,0,329,399056878,399057.0424,0
27334,16091,0,341,399056885,399057.0504,0
27360,16078,0,358,399056893,399057.0584,0
27376,16069,0,397,399056900,399057.0663,0
27381,16065,0,401,399056908,399057.0743,0
27389,16064,0,420,399056916,399057.0823,0
27389,16064,0,447,399056923,399057.0903,0
27391,16064,0,469,399056931,399057.0943,0
27391,16063,0,495,399056938,399057.1022,0
27391,16063,0,519,399056946,399057.1102,0
27391,16062,0,538,399056953,399057.1182,0
27391,16062,0,551,399056961,399057.1262,0
27391,16062,0,560,399056968,399057.1342,0
27392,16062,0,568,399056976,399057.1421,0
27393,16062,0,573,399056983,399057.1501,0
27399,16062,0,572,399056991,399057.1541,0
27415,16062,0,570,399056998,399057.162,0
27443,16062,0,566,399057006,399057.17,0
27479,16068,0,566,399057013,399057.179,0
27521,16074,0,571,399057021,399057.186,0
27569,16082,0,571,399057028,399057.1946,0
27620,16089,0,572,399057036,399057.2029,0
27669,16095,0,573,399057043,399057.2109,0
27719,16100,0,575,399057051,399057.2189,0
27777,16103,0,579,399057058,399057.2229,0
27848,16104,0,586,399057066,399057.2309,0
27931,16104,0,597,399057073,399057.2389,0
28030,16104,0,606,399057081,399057.2469,0
28146,16104,0,611,399057088,399057.2548,0
28277,16104,0,617,399057096,399057.2628,0
28426,16104,0,622,399057103,399057.2708,0
28594,16104,0,627,399057111,399057.2788,0
28774,16104,0,638,399057119,399057.2867,0
28967,16104,0,652,399057126,399057.2907,0
29161,16104,0,663,399057134,399057.2987,0
29348,16104,0,658,399057141,399057.3067,0
29518,16104,0,658,399057149,399057.3147,0
29658,16104,0,659,399057156,399057.3226,0
29764,16104,0,656,399057164,399057.3306,0
29837,16104,0,660,399057171,399057.3386,0
29883,16104,0,665,399057179,399057.3467,0
29905,16104,0,667,399057186,399057.3506,0
29912,16104,0,671,399057194,399057.3586,0
29912,16104,0,674,399057201,399057.3665,0
29912,16104,0,671,399057209,399057.3745,0
29912,16104,0,669,399057216,399057.3825,0
29912,16104,0,667,399057224,399057.3905,0
29912,16104,0,662,399057231,399057.3985,0
29912,16104,0,658,399057239,399057.4064,0
29912,16104,0,658,399057246,399057.4104,0
29912,16104,0,660,399057254,399057.4184,0
29908,16104,0,667,399057261,399057.4264,0
29902,16104,0,671,399057269,399057.4344,0
29895,16104,0,675,399057276,399057.4424,0
29887,16105,0,678,399057284,399057.4503,0
29880,16105,0,680,399057291,399057.4583,0
29875,16105,0,684,399057299,399057.4663,0
29870,16105,0,686,399057306,399057.4742,0
29869,16105,0,686,399057314,399057.4781,0
29869,16107,0,682,399057321,399057.4862,0
29869,16107,0,672,399057329,399057.4942,0
29869,16107,0,661,399057337,399057.5022,0
29869,16107,0,648,399057344,399057.5102,0
29869,16107,0,636,399057352,399057.5183,0
29869,16107,0,623,399057359,399057.5262,0
29869,16107,0,611,399057367,399057.5342,0
29869,16107,0,600,399057374,399057.5382,0
29869,16107,0,592,399057382,399057.5462,0
29869,16107,0,588,399057389,399057.5541,0
29870,16107,0,590,399057397,399057.5622,0
29870,16107,0,592,399057404,399057.5701,0
29871,16107,0,595,399057412,399057.5781,0
29873,16107,0,600,399057419,399057.5861,0
29874,16107,0,606,399057427,399057.5941,0
29875,16107,0,619,399057434,399057.602,0
29875,16107,0,636,399057442,399057.607,0
29875,16107,0,655,399057449,399057.614,0
29875,16107,0,675,399057457,399057.622,0
29875,16107,0,693,399057464,399057.63,0
29876,16107,0,708,399057472,399057.638,0
29876,16107,0,721,399057479,399057.6469,0
29876,16107,0,730,399057487,399057.6549,0
29876,16107,0,738,399057494,399057.6622,0
29876,16107,0,742,399057502,399057.6662,0
29876,16107,0,744,399057509,399057.6743,0
29876,16107,0,746,399057517,399057.6823,0
29876,16107,0,745,399057524,399057.6902,0
29876,16107,0,745,399057532,399057.6981,0
29876,16107,0,745,399057540,399057.7062,0
29876,16107,0,744,399057547,399057.7142,0
29876,16107,0,744,399057555,399057.7221,0
29878,16107,0,744,399057562,399057.7261,0
29879,16107,0,743,399057570,399057.7341,0
29880,16107,0,744,399057577,399057.7421,0
29881,16107,0,744,399057585,399057.7501,0
29881,16107,0,744,399057592,399057.758,0
29883,16107,0,746,399057600,399057.767,0
29884,16107,0,746,399057607,399057.774,0
29884,16107,0,746,399057615,399057.783,0
29885,16107,0,748,399057622,399057.79,0
29885,16107,0,748,399057630,399057.7946,0
29886,16107,0,749,399057637,399057.8029,0
29886,16107,0,748,399057645,399057.8109,0
29886,16107,0,749,399057652,399057.8189,0
29886,16107,0,749,399057660,399057.8269,0
29886,16107,0,749,399057667,399057.8349,0
29886,16107,0,749,399057675,399057.8429,0
29886,16107,0,750,399057682,399057.8508,0
29886,16107,0,750,399057690,399057.8548,0
29886,16107,0,753,399057697,399057.8628,0
29887,16107,0,754,399057705,399057.8708,0
29887,16107,0,757,399057712,399057.8787,0
29890,16107,0,760,399057720,399057.8867,0
29890,16107,0,762,399057727,399057.8946,0
29891,16107,0,765,399057735,399057.9027,0
29892,16107,0,767,399057743,399057.9106,0
29892,16107,0,769,399057750,399057.9186,0
29894,16107,0,772,399057758,399057.9225,0
29894,16107,0,774,399057765,399057.9306,0
29894,16107,0,775,399057773,399057.9386,0
29895,16107,0,777,399057780,399057.9466,0
29895,16107,0,778,399057788,399057.9545,0
29896,16107,0,781,399057795,399057.9625,0
29897,16107,0,784,399057803,399057.9705,0
29899,16107,0,789,399057810,399057.978,0
29900,16104,0,794,399057818,399057.9825,0
29901,16103,0,798,399057825,399057.9904,0
29901,16101,0,803,399057833,399057.9984,0
29902,16100,0,807,399057840,399058.0064,0
29902,16098,0,811,399057848,399058.0144,0
29903,16097,0,817,399057855,399058.0224,0
29903,16093,0,821,399057863,399058.0303,0
29905,16091,0,824,399057870,399058.0383,0
29906,16089,0,829,399057878,399058.0463,0
29907,16087,0,832,399057885,399058.0503,0
29907,16084,0,836,399057893,399058.0582,0
29908,16081,0,839,399057900,399058.0662,0
29908,16080,0,839,399057908,399058.0742,0
29908,16079,0,838,399057915,399058.0822,0
29908,16078,0,837,399057923,399058.0902,0
29908,16078,0,836,399057930,399058.0981,0
29908,16078,0,835,399057938,399058.1061,0
29908,16078,0,834,399057945,399058.1101,0
29908,16078,0,834,399057953,399058.1181,0
29908,16078,0,835,399057961,399058.1261,0
29908,16078,0,835,399057968,399058.134,0
29908,16078,0,837,399057976,399058.142,0
29908,16078,0,838,399057983,399058.15,0
29908,16077,0,840,399057991,399058.158,0
29908,16075,0,845,399057998,399058.166,0
29908,16074,0,852,399058006,399058.171,0
29908,16072,0,861,399058013,399058.179,0
29908,16072,0,870,399058021,399058.1869,0
29908,16071,0,876,399058028,399058.1946,0
29908,16070,0,882,399058036,399058.2029,0
29908,16070,0,888,399058043,399058.2109,0
29908,16069,0,892,399058051,399058.2188,0
29908,16068,0,898,399058058,399058.2268,0
29908,16068,0,903,399058066,399058.234,0
29908,16066,0,906,399058073,399058.238,0
29908,16065,0,910,399058081,399058.2469,0
29908,16065,0,913,399058088,399058.2548,0
29908,16064,0,914,399058096,399058.2629,0
29908,16064,0,916,399058103,399058.2709,0
29908,16063,0,917,399058111,399058.2788,0
29908,16063,0,919,399058118,399058.2868,0
29908,16063,0,920,399058126,399058.2946,0
29908,16063,0,923,399058133,399058.2988,0
29908,16063,0,928,399058141,399058.3067,0
29910,16062,0,933,399058148,399058.3147,0
29912,16058,0,941,399058156,399058.3227,0
29916,16051,0,954,399058164,399058.3307,0
29922,16044,0,969,399058171,399058.3386,0
29927,16036,0,992,399058179,399058.3467,0
29934,16029,0,1001,399058186,399058.3546,0
29939,16021,0,1001,399058194,399058.3626,0
29943,16017,0,1003,399058201,399058.3666,0
29948,16015,0,1006,399058209,399058.3745,0
29950,16012,0,1005,399058216,399058.3825,0
29952,16010,0,1007,399058224,399058.3905,0
29953,16010,0,1008,399058231,399058.3985,0
29954,16009,0,1010,399058239,399058.4064,0
29954,16009,0,1010,399058246,399058.4144,0
29955,16007,0,1011,399058254,399058.4224,0
29956,16006,0,1013,399058261,399058.4264,0
29956,16005,0,1013,399058269,399058.4344,0
29958,16005,0,1015,399058276,399058.4424,0
29959,16005,0,1015,399058284,399058.4503,0
29959,16005,0,1015,399058291,399058.4583,0
29960,16005,0,1015,399058299,399058.4663,0
29960,16005,0,1015,399058306,399058.4743,0
29960,16005,0,1014,399058314,399058.4823,0
29960,16005,0,1014,399058321,399058.4862,0
29960,16005,0,1015,399058329,399058.4943,0
29960,16005,0,1015,399058336,399058.5022,0
29960,16005,0,1016,399058344,399058.5103,0
29960,16005,0,1017,399058351,399058.5182,0
29960,16005,0,1018,399058359,399058.5262,0
29960,16005,0,1019,399058367,399058.5342,0
29960,16005,0,1021,399058374,399058.5421,0
29960,16005,0,1023,399058382,399058.5501,0
29960,16005,0,1023,399058389,399058.5541,0
29960,16005,0,1023,399058397,399058.5621,0
29960,16005,0,1023,399058404,399058.5701,0
29960,16005,0,1023,399058412,399058.5791,0
29960,16005,0,1023,399058419,399058.586,0
29960,16005,0,1023,399058427,399058.594,0
29960,16005,0,1023,399058434,399058.602,0
29960,16005,0,1023,399058442,399058.61,0
29960,16005,0,1023,399058449,399058.614,0
29960,16005,0,1023,399058457,399058.622,0
29960,16005,0,1023,399058464,399058.631,0
29960,16005,0,1023,399058472,399058.6389,0
29960,16005,0,1023,399058479,399058.646,0
29960,16005,0,1023,399058487,399058.6549,0
29960,16005,0,1023,399058494,399058.6629,0
29960,16005,0,1023,399058502,399058.6708,0
29960,16005,0,1023,399058509,399058.6788,0
29960,16005,0,1023,399058517,399058.6828,0
29960,16005,0,1023,399058524,399058.6908,0
29960,16005,0,1023,399058532,399058.6988,0
29960,16005,0,1023,399058539,399058.7068,0
29960,16005,0,1023,399058547,399058.7148,0
29960,16005,0,1023,399058554,399058.7227,0
29960,16005,0,1023,399058562,399058.7307,0
29960,16005,0,1023,399058569,399058.7386,0
29960,16005,0,1023,399058577,399058.7427,0
29960,16005,0,1023,399058585,399058.7506,0
29960,16005,0,1023,399058592,399058.7586,0
29960,16005,0,1023,399058600,399058.7666,0
29960,16005,0,1023,399058607,399058.7746,0
29960,16005,0,1023,399058615,399058.7826,0
29960,16005,0,1023,399058622,399058.7905,0
29960,16005,0,1023,399058630,399058.7985,0
29960,16005,0,1023,399058637,399058.8025,0
29960,16005,0,1023,399058645,399058.8105,0
29960,16005,0,1023,399058652,399058.8184,0
29960,16005,0,1023,399058660,399058.8264,0
29960,16005,0,1023,399058667,399058.8344,0
29960,16005,0,1023,399058675,399058.8424,0
29960,16005,0,1023,399058682,399058.8504,0
29960,16005,0,1023,399058690,399058.8584,0
29960,16005,0,1023,399058697,399058.8664,0
29960,16005,0,1023,399058705,399058.8703,0
29960,16005,0,1023,399058712,399058.878,0
29960,16005,0,1023,399058720,399058.8863,0
29960,16005,0,1023,399058727,399058.8943,0
29960,16005,0,1023,399058735,399058.9022,0
29960,16005,0,1023,399058742,399058.9102,0
29960,16005,0,1023,399058750,399058.9184,0
29960,16005,0,1023,399058757,399058.9263,0
29960,16005,0,1023,399058765,399058.9303,0
29960,16005,0,1023,399058772,399058.9383,0
29960,16005,0,1023,399058780,399058.9463,0
29960,16005,0,1023,399058788,399058.9542,0
29960,16005,0,1023,399058795,399058.9622,0
29960,16005,0,1023,399058803,399058.9702,0
29960,16005,0,1023,399058810,399058.9782,0
29960,16005,0,1023,399058818,399058.9861,0
29960,16005,0,1023,399058825,399058.9942,0
29960,16005,0,1023,399058833,399058.9981,0
29960,16005,0,1023,399058840,399059.0061,0
29960,16005,0,1023,399058848,399059.0141,0
29960,16005,0,1023,399058855,399059.0221,0
29960,16005,0,1023,399058863,399059.0301,0
29960,16005,0,1023,399058870,399059.038,0
29960,16005,0,1023,399058878,399059.046,0
29960,16005,0,1023,399058885,399059.054,0
29960,16005,0,1023,399058893,399059.058,0
29960,16005,0,1023,399058900,399059.067,0
29960,16005,0,1023,399058908,399059.0749,0
29960,16005,0,1023,399058915,399059.0829,0
29960,16005,0,1023,399058923,399059.0909,0
29960,16005,0,1023,399058930,399059.0989,0
29960,16005,0,1023,399058938,399059.1069,0
29960,16005,0,1023,399058945,399059.1148,0
29960,16005,0,1023,399058953,399059.1227,0
29960,16005,0,1023,399058960,399059.1267,0
29960,16005,0,1023,399058968,399059.1341,0
29960,16005,0,1023,399058975,399059.142,0
29960,16005,0,1023,399058983,399059.151,0
29960,16005,0,1023,399058990,399059.158,0
29960,16005,0,1023,399058998,399059.167,0
29960,16005,0,1023,399059006,399059.1739,0
29960,16005,0,1023,399059013,399059.1828,0
29960,16005,0,1023,399059021,399059.1868,0
29960,16005,0,1021,399059028,399059.1946,0
29960,16005,0,1021,399059036,399059.2028,0
29960,16005,0,1021,399059043,399059.2109,0
29960,16005,0,1020,399059051,399059.2188,0
29960,16005,0,1021,399059058,399059.2267,0
29960,16005,0,1019,399059066,399059.2348,0
29960,16005,0,1018,399059073,399059.2428,0
29960,16005,0,1017,399059081,399059.2467,0
29960,16005,0,1014,399059088,399059.2547,0
29960,16005,0,1012,399059096,399059.2627,0
29960,16005,0,1010,399059103,399059.2707,0
29960,16005,0,1006,399059111,399059.2787,0
29960,16005,0,1005,399059118,399059.2867,0
29960,16005,0,1001,399059126,399059.2946,0
29960,16005,0,999,399059133,399059.3026,0
29960,16005,0,998,399059141,399059.3106,0
29960,16005,0,996,399059148,399059.3146,0
29960,16005,0,997,399059156,399059.3225,0
29960,16005,0,997,399059163,399059.3305,0
29960,16005,0,996,399059171,399059.3385,0
29960,16005,0,996,399059178,399059.3465,0
29960,16005,0,995,399059186,399059.3544,0
29960,16005,0,994,399059193,399059.3624,0
29960,16005,0,994,399059201,399059.3704,0
29960,16005,0,993,399059209,399059.3744,0
29960,16005,0,993,399059216,399059.3824,0
29960,16005,0,992,399059224,399059.3904,0
29960,16005,0,992,399059231,399059.3983,0
29960,16005,0,993,399059239,399059.4063,0
29960,16005,0,992,399059246,399059.4143,0
29960,16005,0,993,399059254,399059.4223,0
29960,16005,0,993,399059261,399059.4302,0
29960,16005,0,992,399059269,399059.4382,0
29960,16005,0,993,399059276,399059.4422,0
29960,16006,0,992,399059284,399059.4502,0
29960,16006,0,991,399059291,399059.4582,0
29960,16007,0,991,399059299,399059.4661,0
29960,16009,0,990,399059306,399059.4741,0
29960,16009,0,990,399059314,399059.482,0
29960,16010,0,989,399059321,399059.49,0
29960,16010,0,987,399059329,399059.4981,0
29960,16011,0,986,399059336,399059.502,0
29960,16011,0,984,399059344,399059.5101,0
29960,16011,0,980,399059351,399059.518,0
29960,16011,0,977,399059359,399059.526,0
29960,16011,0,971,399059366,399059.534,0
29960,16011,0,965,399059374,399059.543,0
29960,16011,0,958,399059381,399059.55,0
29960,16011,0,951,399059389,399059.5589,0
29960,16011,0,947,399059396,399059.5629,0
29960,16011,0,944,399059404,399059.5709,0
29960,16011,0,943,399059412,399059.578,0
29960,16011,0,943,399059419,399059.5868,0
29960,16011,0,942,399059427,399059.5946,0
29960,16011,0,943,399059434,399059.6028,0
29960,16011,0,944,399059442,399059.6107,0
29960,16011,0,943,399059449,399059.6187,0
29960,16011,0,944,399059457,399059.6267,0
29960,16011,0,943,399059464,399059.6307,0
29960,16011,0,943,399059472,399059.6387,0
29960,16011,0,942,399059479,399059.6467,0
29960,16011,0,940,399059487,399059.6546,0
29960,16011,0,938,399059494,399059.6626,0
29960,16011,0,936,399059502,399059.6706,0
29960,16011,0,932,399059509,399059.6786,0
29960,16011,0,932,399059517,399059.6866,0
29960,16011,0,929,399059524,399059.6906,0
29960,16011,0,927,399059532,399059.6985,0
29959,16011,0,927,399059539,399059.7065,0
29958,16011,0,925,399059547,399059.7145,0
29958,16011,0,925,399059554,399059.7225,0
29956,16011,0,925,399059562,399059.7305,0
29956,16011,0,924,399059569,399059.7384,0
29956,16011,0,926,399059577,399059.7463,0
29956,16011,0,926,399059584,399059.7543,0
29956,16011,0,926,399059592,399059.7583,0
29956,16011,0,927,399059599,399059.7663,0
29956,16011,0,927,399059607,399059.7743,0
29956,16011,0,930,399059614,399059.7823,0
29960,16011,0,931,399059622,399059.7902,0
29972,16011,0,933,399059630,399059.7982,0
29993,16011,0,937,399059637,399059.8062,0
30030,16013,0,939,399059645,399059.8142,0
30082,16016,0,941,399059652,399059.8182,0
30149,16023,0,946,399059660,399059.8262,0
30232,16031,0,948,399059667,399059.8342,0
30333,16041,0,946,399059675,399059.8421,0
30448,16052,0,949,399059682,399059.8501,0
30571,16061,0,948,399059690,399059.8581,0
30700,16068,0,948,399059697,399059.8661,0
30840,16071,0,948,399059705,399059.874,0
30990,16071,0,942,399059712,399059.882,0
31151,16071,0,920,399059720,399059.886,0
31321,16071,0,921,399059727,399059.894,0
31500,16064,0,925,399059735,399059.903,0
31688,16058,0,920,399059742,399059.911,0
31883,16051,0,914,399059750,399059.918,0
32080,16045,0,916,399059757,399059.927,0
32276,16039,0,917,399059765,399059.9349,0
32469,16031,0,921,399059772,399059.9429,0
32663,16022,0,928,399059780,399059.9469,0
32852,16013,0,932,399059787,399059.9549,0
33038,16003,0,936,399059795,399059.9628,0
33217,15993,0,937,399059802,399059.9708,0
33391,15985,0,940,399059810,399059.978,0
