NaN,NaN,NaN,NaN,NaN,368269.6694,5
20734,4602,0,0,368270870,368271.3663,0
20677,4568,0,0,368270873,368271.3675,0
20730,4611,0,0,368270877,368271.3683,0
20673,4577,0,0,368270880,368271.3693,0
20665,4592,0,0,368270888,368271.3702,0
20652,4612,0,0,368270895,368271.3754,0
20635,4636,0,0,368270903,368271.3834,0
20670,4702,0,0,368270907,368271.3921,0
20613,4668,0,0,368270910,368271.3934,0
20588,4703,0,0,368270918,368271.3996,0
20558,4744,0,0,368270925,368271.4076,0
20525,4790,0,0,368270933,368271.416,0
20493,4831,0,0,368270940,368271.4237,0
20521,4907,0,0,368270945,368271.4318,0
20463,4873,0,0,368270948,368271.4328,0
20436,4915,0,0,368270955,368271.4358,0
20411,4959,0,0,368270963,368271.4432,0
20390,5001,0,0,368270970,368271.4514,0
20371,5042,0,0,368270978,368271.4592,0
20355,5080,0,0,368270985,368271.4674,0
20341,5116,0,0,368270993,368271.4755,0
20328,5147,0,0,368271000,368271.484,0
20376,5205,0,0,368271005,368271.4918,0
20317,5172,0,0,368271008,368271.4926,0
20306,5194,0,0,368271015,368271.4956,0
20297,5207,0,0,368271023,368271.5036,0
20289,5218,0,0,368271030,368271.512,0
20289,5218,0,0,368271038,368271.5195,0
20280,5233,0,0,368271045,368271.528,0
20280,5233,0,0,368271053,368271.5359,0
20280,5243,0,0,368271060,368271.5439,0
20280,5243,0,0,368271068,368271.5516,0
20295,5248,0,0,368271076,368271.5553,0
20305,5248,0,0,368271083,368271.5636,0
20319,5248,0,0,368271091,368271.5716,0
20393,5279,0,0,368271095,368271.5801,0
20334,5245,0,0,368271098,368271.5813,0
20351,5240,0,0,368271106,368271.5874,0
20368,5235,0,0,368271113,368271.596,0
20446,5261,0,0,368271118,368271.6033,0
20387,5227,0,0,368271121,368271.6046,0
20406,5220,0,0,368271128,368271.6114,0
20425,5211,0,0,368271136,368271.6153,0
20445,5203,0,0,368271143,368271.6241,0
20464,5197,0,0,368271151,368271.631,0
20484,5189,0,0,368271158,368271.6391,0
20503,5183,0,0,368271166,368271.6478,0
20523,5176,0,0,368271173,368271.6552,0
20543,5170,0,0,368271181,368271.6635,0
20563,5163,0,0,368271188,368271.6714,0
20581,5157,0,0,368271196,368271.6751,0
20599,5151,0,0,368271203,368271.6841,0
20615,5146,0,0,368271211,368271.6917,0
20629,5139,0,0,368271218,368271.6996,0
20641,5130,0,0,368271226,368271.7076,0
20650,5120,0,0,368271233,368271.7159,0
20657,5111,0,0,368271241,368271.7237,0
20660,5098,0,0,368271248,368271.7314,0
20660,5085,0,0,368271256,368271.7393,0
20660,5067,0,0,368271263,368271.7439,0
20656,5046,0,0,368271271,368271.7511,0
20707,5060,0,0,368271276,368271.7601,0
20649,5025,0,0,368271278,368271.7611,0
20641,5004,0,0,368271286,368271.7671,0
20690,5013,0,0,368271291,368271.7751,0
20632,4979,0,0,368271293,368271.7763,0
20622,4953,0,0,368271301,368271.7838,0
20611,4929,0,0,368271309,368271.792,0
20601,4906,0,0,368271316,368271.7995,0
20589,4889,0,0,368271324,368271.8037,0
20635,4906,0,0,368271328,368271.8113,0
20577,4872,0,0,368271331,368271.8126,0
20566,4858,0,0,368271339,368271.8191,0
20556,4847,0,0,368271346,368271.827,0
20546,4840,0,0,368271354,368271.835,0
20604,4874,0,0,368271358,368271.8431,0
20546,4840,0,0,368271361,368271.8435,0
20532,4834,0,0,368271369,368271.8521,0
20590,4868,0,0,368271373,368271.8597,0
20532,4834,0,0,368271376,368271.861,0
20532,4834,0,0,368271384,368271.8636,0
20532,4846,0,0,368271391,368271.8715,0
20542,4859,0,0,368271399,368271.8798,0
20553,4876,0,0,368271406,368271.8876,0
20567,4898,0,0,368271414,368271.8952,0
20584,4923,0,0,368271421,368271.9033,0
20660,4986,0,0,368271426,368271.9113,0
20602,4952,0,0,368271429,368271.9128,0
20620,4985,0,0,368271436,368271.92,0
20638,5018,0,0,368271444,368271.9239,0
20656,5049,0,0,368271451,368271.9317,0
20672,5078,0,0,368271459,368271.9396,0
20687,5105,0,0,368271466,368271.9479,0
